ax,ay,az,gx,gy,gz
106,413,4028,277,-273,215
-2,598,3963,399,-17,281
77,492,4082,535,36,331
121,563,4077,656,155,291
372,362,4137,882,300,94
427,390,4186,903,234,127
360,444,4141,848,156,128
247,456,4130,900,123,181
73,506,4329,1009,80,333
-77,349,4539,1096,-49,327
-933,858,5423,2035,105,-141
-1223,-1207,6075,-2931,10,-1011
-93,-174,4917,-1219,65,-1134
365,239,4365,-632,581,-630
408,92,4136,-180,245,-120
314,506,4275,-17,-51,157
428,484,4500,201,-87,336
271,426,4621,1080,48,296
178,312,4484,1606,298,353
411,-102,4935,1968,729,542
613,-637,5096,191,-272,494
723,-211,4221,-631,-666,275
562,121,3866,-690,-607,81
639,-148,3903,-424,106,368
432,-257,4339,-179,384,695
197,-357,4532,-54,392,792
16,-421,4772,-146,168,783
-184,-399,4952,-416,-52,735
-329,-368,4971,-559,-15,649
-365,-312,4932,-672,1,512
-200,-372,4926,-694,186,344
-193,-303,4763,-796,183,255
-183,-184,4645,-823,197,29
71,-344,4584,-766,144,-227
173,-306,4444,-838,227,-98
274,-223,4331,-828,286,95
267,-204,4294,-666,401,435
171,-257,4435,-579,314,571
46,-291,4510,-631,275,577
-172,-291,4545,-878,236,475
-287,-81,4416,-1005,381,426
-320,13,4179,-1055,386,244
-160,22,4186,-806,413,-82
-117,26,4158,-731,302,-84
-161,19,4099,-729,213,-57
-209,14,4139,-636,97,-110
-216,-87,4318,-549,-14,-256
-231,-48,4352,-515,18,-409
-189,-6,4311,-495,27,-564
-106,0,4330,-707,-102,-693
-67,-58,4214,-703,-232,-602
-118,117,4139,-666,-225,-493
-121,156,3874,-587,30,-383
57,172,3857,-398,274,-277
85,111,3951,-353,433,-249
-94,137,3883,-490,446,-329
-242,205,3705,-547,315,-378
-86,202,3639,-420,324,-562
155,34,3599,-280,163,-614
111,87,3425,-346,19,-546
24,158,3198,-372,-66,-444
36,115,3162,-238,111,-139
30,81,3200,-213,203,44
-80,63,3191,-230,290,121
-293,111,3085,-238,373,76
-201,80,3068,-183,396,-99
-105,-3,2954,-167,384,-183
13,108,2791,-152,216,-190
33,89,2668,-47,-23,-139
159,58,2676,104,-140,-192
190,63,2731,249,-74,-135
40,-2,3086,401,-118,33
-92,-93,3319,368,-29,89
-78,-104,3549,314,156,73
42,-266,3847,238,260,107
-31,-204,3809,124,254,29
-1,-9,3573,104,37,-108
71,32,3384,358,-55,-224
-61,131,3362,448,-98,-193
-156,175,3360,529,-117,-175
-7,127,3551,693,30,-137
263,100,3960,752,-184,-156
249,30,4072,747,-416,-181
158,-819,4055,1404,-571,-168
-151,186,4863,612,-722,321
-60,-270,4388,-214,-635,15
83,-125,4443,639,-405,-150
179,-62,4378,879,-161,-100
286,48,4074,626,-172,-3
464,212,3930,776,-164,32
502,80,3999,967,-317,116
336,170,4077,1194,-352,185
290,66,4360,1443,-388,153
224,-32,4565,1464,-694,32
107,-30,4650,1354,-699,98
-47,-86,4823,1171,-488,158
-134,-132,4912,908,-97,141
-256,-108,4945,719,61,-30
-274,-36,4857,544,-21,-270
-62,75,4641,480,-412,-428
267,254,4569,646,-376,-230
386,119,4758,855,-178,9
275,11,4866,943,32,197
315,-74,5623,889,-35,129
151,-398,5566,-2958,-281,433
-85,439,6636,-2507,-768,318
-764,128,4408,-52,-432,-554
-144,186,4480,150,-584,-752
426,103,4758,1088,571,-374
247,-204,6022,1070,985,-170
-21,-391,5820,-76,200,-82
-320,-219,5659,-545,-107,-269
-298,28,5159,-887,-72,-395
-192,93,4909,-807,103,-251
-174,32,4805,-739,185,-83
-235,134,4619,-783,173,115
-199,92,4467,-821,219,168
-290,137,4387,-805,263,99
-291,95,4403,-686,288,-84
-209,-118,4558,-616,377,-249
-180,-101,4554,-648,457,-324
-227,-60,4565,-718,344,-330
-38,-121,4508,-736,98,-359
-59,-113,4410,-813,79,-251
-245,40,4228,-873,105,-151
-122,-79,4238,-770,272,-218
-71,-126,4297,-688,342,-237
-109,-97,4270,-682,294,-212
-227,-104,4250,-702,396,-130
-251,-47,4187,-698,350,-166
-242,-159,4245,-689,403,-233
-132,-164,4243,-703,408,-444
-111,-140,4152,-698,350,-472
-154,-42,4056,-678,488,-397
-57,-35,4023,-556,620,-337
241,-175,4091,-426,724,-315
299,-220,4131,-430,581,-306
254,-245,4173,-490,329,-439
222,-298,4240,-537,167,-466
94,-313,4163,-595,97,-473
-44,-242,4009,-692,247,-334
2,-220,3838,-688,377,-262
44,-179,3696,-697,495,-156
6,-139,3564,-668,501,-113
30,-134,3417,-588,408,-182
165,-186,3384,-518,422,-180
216,-251,3338,-472,388,-119
202,-107,2997,-311,248,-32
206,-186,2980,-110,299,63
203,-233,3015,58,385,118
168,-378,3268,232,559,190
-1,-450,3439,165,574,179
-106,-447,3346,13,408,32
-27,-337,3061,-154,272,-134
24,-195,2753,-177,226,-147
164,-164,2569,-65,250,-136
237,-136,2574,182,147,7
50,-61,2580,309,82,92
107,-85,2707,515,155,124
214,-188,2963,761,266,206
90,-265,3381,804,350,297
-8,-281,3569,810,318,262
-78,-295,3753,759,238,178
23,-393,3818,637,-82,-108
105,-384,3712,535,-281,-244
52,-286,3465,473,-376,-271
98,-238,3217,570,2,-75
131,-260,3239,623,216,186
80,-304,3276,655,228,327
2,-80,3503,674,106,459
-110,-50,3817,757,66,395
-170,-312,3980,1150,-141,127
-422,-122,4598,650,-255,500
-176,-433,4169,164,-513,-64
-136,-302,4184,912,-481,-362
-90,-303,4274,832,-756,-486
56,-32,4056,485,-846,-365
97,41,4027,571,-720,-127
-18,100,4076,878,-466,125
-149,-48,4356,981,-222,254
-163,-166,4476,974,-152,295
-221,-138,4522,909,-179,214
-269,-46,4395,703,-418,-45
-119,27,4282,512,-626,-45
-104,-77,4389,407,-974,-31
77,288,4409,414,-1134,66
79,279,4494,623,-886,294
68,266,4620,806,-687,495
182,300,4625,934,-282,637
199,242,4613,988,-258,652
159,300,4538,994,-408,614
216,371,4774,1109,-382,584
72,373,5111,1269,-429,618
-105,360,5172,1072,-513,478
-238,339,5147,822,-730,257
-210,245,5406,732,-707,192
821,-561,6088,-2869,-970,292
-294,-213,5593,-2304,21,650
-855,541,5017,-909,-432,-205
-537,515,4924,258,-758,-751
-390,344,4836,1490,-384,-793
-150,-368,5909,990,679,-440
-339,-341,5594,-254,530,-172
-520,9,5184,-726,123,-416
-453,-18,4915,-1025,-65,-610
-515,51,4773,-1026,44,-474
-538,33,4689,-976,224,-377
-499,-9,4532,-1008,504,-393
-376,-45,4397,-1062,493,-430
-281,49,4262,-1052,681,-339
-241,-34,4214,-859,948,-170
-247,-37,4196,-790,872,-152
-268,-96,4315,-768,761,-192
-325,-156,4389,-816,526,-392
-259,-165,4322,-835,629,-426
-269,-220,4283,-812,807,-337
-178,-219,4299,-779,803,-307
