ax,ay,az,gx,gy,gz
344,30,4062,125,-1843,-829
-35,152,4072,-79,-2009,-892
-309,48,3924,-9,-1267,-1124
-241,-114,3745,14,-381,-1271
-250,-46,4145,-128,-333,-1045
-65,31,4264,-84,-323,-1020
-74,42,4247,11,-347,-1082
-318,12,4150,181,-382,-1041
-461,-143,3811,239,-407,-860
-499,-120,3773,209,-720,-633
-525,-56,3829,210,-853,-472
-645,-62,3822,166,-726,-473
-832,-59,3919,154,-344,-616
-1024,-139,3931,45,-74,-698
-1301,-272,4018,-127,38,-603
-1458,-276,4342,-197,-90,-406
-1434,-181,4401,-185,-86,-297
-1413,-160,4613,-142,-107,-148
-1528,-125,4699,-61,-445,83
-1603,-82,4664,98,-712,376
-1444,-79,4415,308,-1058,838
-1361,47,4373,290,-919,985
-1173,-11,4222,257,-356,956
-836,88,4222,59,292,812
-421,213,4327,-63,626,682
-120,353,4391,-119,815,488
-84,430,4423,-72,945,263
-124,328,4281,-12,970,230
-106,265,4237,4,959,254
-113,276,4234,8,929,311
19,393,4498,157,904,354
-93,280,4492,330,848,363
-258,273,4455,439,729,443
-174,284,4630,466,833,532
137,412,4740,400,995,501
441,564,4877,309,1090,426
847,797,4889,352,1010,263
1034,889,4859,461,872,128
1186,962,4789,565,700,13
1272,940,4576,702,524,-136
1127,904,4553,781,369,-252
988,775,4441,811,463,-434
784,626,4162,790,605,-732
581,555,4188,687,658,-844
352,502,4200,606,716,-972
235,560,4162,589,915,-1015
192,487,4147,634,894,-929
222,496,4092,647,706,-876
377,636,4003,808,306,-763
479,687,3856,950,68,-687
334,686,3825,1061,-308,-593
136,705,3796,1059,-583,-569
71,767,3691,877,-624,-668
118,891,3688,680,-423,-749
103,913,3925,499,-28,-905
58,871,4270,353,309,-1107
-120,786,4409,287,238,-1220
-331,904,4801,244,-59,-1208
-387,957,4829,501,-150,-1099
-373,877,4701,639,-259,-1049
-384,862,4570,697,-423,-981
-485,845,4668,740,-530,-912
-584,802,4599,715,-280,-1053
-588,704,4538,721,-96,-1142
-641,593,4428,710,-75,-1313
-879,613,4635,625,-48,-1242
-882,563,4572,612,203,-1247
-925,454,4630,623,549,-1278
-895,345,4546,705,560,-1204
-858,274,4455,784,361,-1044
-583,437,3735,1043,198,-836
-591,339,3533,1574,-432,-336
-562,434,3365,1722,-578,118
-417,441,3034,1499,-190,-37
-312,371,2861,1221,-228,65
-283,462,3009,852,-332,26
-165,561,3052,476,-277,-137
-68,697,2816,21,-106,-488
72,899,2416,-60,7,-593
-102,735,2508,127,-86,-517
-228,671,2562,303,-765,-123
-88,701,2521,422,-1072,73
-53,655,2443,461,-1309,160
-134,601,2344,379,-1358,165
-113,429,2196,243,-1115,64
72,299,2082,-61,-983,-38
172,337,2245,-584,-1052,-86
79,260,2362,-832,-734,-252
77,86,2358,-1046,-589,-325
32,-11,2504,-1250,-763,-280
-65,43,3248,-1425,-1233,-80
32,228,3545,-1362,-1336,18
-66,153,3661,-1202,-1145,6
-86,48,3685,-1108,-1181,192
-16,-14,3728,-1160,-1209,325
232,34,4035,-1325,-1354,464
389,102,4374,-1535,-1060,283
345,262,4784,-1517,-856,177
197,224,4895,-1640,-1137,576
224,607,5580,-1209,-987,356
202,595,5550,-945,-687,145
-7,573,5544,-673,-723,88
-242,568,5482,-361,-773,156
-452,357,5426,-205,-883,313
-332,398,5402,-197,-1054,484
-76,670,5632,-209,-1079,508
525,992,5723,-144,-763,357
937,1056,5573,-111,-449,136
906,997,5906,-223,-711,-166
388,1247,5502,505,-782,-85
365,742,4778,860,-302,-124
379,940,4526,657,-623,-68
476,927,4417,703,-426,13
671,953,4541,502,-259,-70
845,1073,4714,247,-133,-247
874,1065,4876,195,213,-548
844,948,4904,149,376,-721
661,967,5047,126,380,-786
500,866,4960,306,625,-795
695,783,4770,415,640,-783
592,776,4851,504,204,-706
263,756,5043,740,-82,-489
232,709,5009,760,201,-561
186,595,4950,764,439,-590
7,446,4934,705,715,-595
-75,394,4855,775,895,-478
-49,254,4623,852,1032,-350
-72,259,4358,862,932,-200
-141,274,3954,844,844,-18
-61,357,3594,736,803,63
87,402,3262,600,556,189
160,550,2928,429,249,271
233,622,2813,349,55,317
226,677,2733,251,-8,293
178,618,2328,97,80,183
146,465,1978,-42,63,182
114,317,1676,-266,-259,297
-36,216,1327,-733,-723,551
-167,-5,1046,-1025,-806,698
-351,-229,877,-1528,-946,906
-512,-655,1902,-2352,-409,1106
87,-354,3431,-2887,367,1212
926,154,4536,-3257,1381,1123
1410,267,4789,-2842,2337,180
877,-132,4757,-2281,1490,-300
325,-185,4698,-1802,131,-301
79,-102,4707,-1271,-1603,400
-5,-87,4815,-922,-2266,875
65,2,4762,-589,-2444,1127
14,11,5088,-497,-2150,1117
188,-16,5915,-781,-988,698
26,820,6581,-907,-295,177
103,825,6465,-318,-86,257
267,580,5483,407,-723,457
264,731,5005,616,-1073,634
501,491,4205,763,-554,493
968,293,3456,535,-844,487
1008,389,3434,281,-1049,522
1051,381,3517,38,-892,514
1068,621,4733,-720,-1079,465
1039,508,5054,-1682,-1342,196
880,333,4592,-1437,-594,-278
710,202,4012,-785,-279,-467
202,-195,3622,-37,-167,-152
16,-193,4216,-692,-1040,43
491,-285,4521,-2482,-3066,797
509,-63,3965,-2901,-3978,1367
411,212,4214,-1898,-2573,1317
854,-10,4234,-798,-1126,957
1346,280,4272,-878,-1063,567
1114,97,4277,-853,-476,232
1108,-15,4348,-840,-257,110
1073,-244,4313,-834,-214,-50
857,-77,4020,-483,276,-354
986,-140,3609,-250,1064,-540
1262,-329,4339,-855,-487,-279
832,12,4199,-667,-920,-99
496,2119,3157,1128,1429,-731
731,-602,3674,2420,1997,-1229
752,-2,4188,-572,-1096,121
1027,38,4126,-626,-831,173
1014,171,4314,-637,-25,-247
810,-32,4117,-760,416,-350
793,-216,3982,-1127,238,-414
989,-36,4040,-1067,-296,-323
975,140,4044,-415,453,-421
964,-151,3915,-191,339,-341
828,-396,4011,232,-28,-171
709,-289,4081,449,24,280
803,-306,4079,555,63,582
786,-371,4116,407,143,742
1071,-123,4077,432,-16,552
918,-334,4134,391,-173,528
831,-264,4086,284,-231,374
856,-158,4041,306,-244,318
1072,-76,4014,349,-282,327
1014,44,4008,441,-294,607
824,-183,3962,539,-429,843
663,-233,4108,799,-640,820
584,-273,4180,726,-591,464
649,-142,4131,619,-483,324
773,-43,4139,579,-440,289
1011,101,4146,387,-281,149
891,96,4096,79,92,299
1205,68,4102,-74,333,73
1191,61,4048,-171,745,-181
1120,174,3983,-137,949,-363
625,-126,4025,-74,1140,-514
575,-229,4026,65,861,-169
696,-84,4019,230,623,-89
895,33,4147,319,194,-20
1060,14,4191,221,195,-86
1083,213,4035,43,370,-305
855,77,3744,337,1527,-594
612,147,4114,459,1881,-1054
