,-46,4155,-44,69,132
-395,-66,4024,-243,35,61
-223,-120,4017,-280,223,53
-158,-114,4130,-312,133,136
-138,34,4281,-336,-35,251
-85,81,4212,-201,30,334
-126,80,4184,-109,23,349
-176,82,4227,-70,114,340
-139,-13,4151,-42,245,254
-176,27,4206,-45,197,250
-176,65,4183,-2,214,283
-161,-6,4116,48,237,300
-184,-23,4116,36,140,327
-199,-47,4072,11,102,347
-197,-92,4039,-10,96,370
-218,-95,4061,-41,-5,450
-183,-10,4080,-31,-68,499
-191,-37,4113,-25,-8,519
-100,-1,4201,-37,48,488
-61,-30,4188,-15,87,489
-79,-25,4199,4,52,507
-180,-60,4213,-25,7,460
-247,-16,4239,-59,-12,394
-204,-10,4179,-69,4,337
-265,23,4239,-47,-43,320
-301,25,4143,-31,24,281
-306,-30,4047,3,73,206
-316,-14,4047,37,117,172
-314,-35,4166,8,179,149
-292,-30,4225,-57,243,105
-342,-38,4222,-87,206,114
-426,13,4242,-56,142,164
-366,24,4207,-60,105,233
-324,1,4157,-56,1,362
-372,158,4294,-61,-92,531
-309,140,4286,-32,60,511
-266,60,4221,14,171,437
-282,7,4154,59,89,389
-389,-34,4155,67,85,390
-362,-47,4105,59,110,353
-246,-14,4168,22,209,350
-206,-26,4143,7,199,403
-310,2,4146,-34,84,472
-332,3,4099,-29,164,479
-279,-60,4072,-28,228,442
-227,-37,4140,-35,270,418
-233,-97,4131,-30,318,312
-334,-132,4098,-60,281,262
-351,-120,4147,-71,281,207
-277,-130,4093,-120,205,185
-277,-114,4115,-127,120,237
-296,-82,4103,-133,85,244
-314,-83,4078,-153,110,229
-336,-66,4091,-205,189,174
-337,-95,4070,-222,224,134
-378,-37,4110,-224,184,112
-301,23,4160,-216,254,89
-172,-54,4094,-201,303,34
-197,-34,4117,-221,180,4
-327,28,4171,-204,39,-91
-564,-16,4173,-157,15,-164
-236,-222,4097,-214,-296,-282
-268,54,4201,-238,-13,-186
-326,-5,4111,-220,12,-177
-340,26,4093,-155,94,-123
-437,3,4158,-73,233,-26
-491,54,4168,-71,296,21
-398,40,4154,-41,429,52
-236,37,4187,-63,388,109
-106,160,4290,-64,280,134
-25,144,4196,-12,283,109
-76,137,4216,53,131,98
-89,35,4097,47,103,27
-174,76,4224,17,-27,-27
-142,135,4362,0,-134,-133
-43,26,4228,116,9,-175
-120,199,4262,92,-297,-82
-103,239,4273,193,-374,-34
-150,182,4128,341,-79,41
-177,101,3955,342,-21,75
-178,151,3928,271,-102,165
-196,268,4128,149,76,218
-91,284,4239,79,261,139
-36,330,4280,77,395,37
2,284,4214,160,372,-78
